com.samsung.shealth.step_daily_trend,6311013,6,,,,,,,,,,
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
78637f2a-39db-4733-bf2e-d5f222f6b040.binning_data.json,2024-02-21 00:00:15,2024-02-20 00:00:01,com.sec.android.app.shealth,106,9232,1.5299647,7186.3706,309.49002,w0vQtxj0o5,com.sec.android.app.shealth,78637f2a-39db-4733-bf2e-d5f222f6b040,1708300800000
cfe3c4a7-8ece-42ab-8a14-850df272fcbc.binning_data.json,2024-02-20 16:13:19,2024-02-20 12:54:41,com.sec.android.app.shealth,-2,12613,1.7996589,10569.879,558.76825,VfS0qUERdZ,com.sec.android.app.shealth,cfe3c4a7-8ece-42ab-8a14-850df272fcbc,1708387200000
cef2bba1-936f-4640-b2ea-0184987e6d1e.binning_data.json,2024-02-21 00:00:15,2024-02-21 00:00:15,com.sec.android.app.shealth,106,12613,1.7996589,10569.879,558.76825,w0vQtxj0o5,com.sec.android.app.shealth,cef2bba1-936f-4640-b2ea-0184987e6d1e,1708387200000
f8d89cb5-ae03-49a0-b70f-8876659cc77e.binning_data.json,2024-02-22 11:44:45,2024-02-21 15:50:36,com.sec.android.app.shealth,-2,5374,1.5334603,4180.801,181.96997,VfS0qUERdZ,com.sec.android.app.shealth,f8d89cb5-ae03-49a0-b70f-8876659cc77e,1708473600000
1e0a030f-57cc-40e5-950a-1d2e5b16c612.binning_data.json,2024-02-23 00:00:02,2024-02-22 00:00:01,com.sec.android.app.shealth,106,5374,1.5334603,4180.801,181.96997,w0vQtxj0o5,com.sec.android.app.shealth,1e0a030f-57cc-40e5-950a-1d2e5b16c612,1708473600000
2df86dd7-4cbd-4b87-9c9a-ee2284363d77.binning_data.json,2024-02-23 09:33:54,2024-02-22 14:06:59,com.sec.android.app.shealth,-2,5794,1.5658883,4530.2104,203.12999,VfS0qUERdZ,com.sec.android.app.shealth,2df86dd7-4cbd-4b87-9c9a-ee2284363d77,1708560000000
b970dfc5-1520-4f1d-bdd6-857dcd92b416.binning_data.json,2024-02-24 00:00:03,2024-02-23 00:00:02,com.sec.android.app.shealth,106,5794,1.5658883,4530.2104,203.12999,w0vQtxj0o5,com.sec.android.app.shealth,b970dfc5-1520-4f1d-bdd6-857dcd92b416,1708560000000
adebeddc-df63-4e35-aa54-92f39453fa00.binning_data.json,2024-02-24 11:50:29,2024-02-23 11:48:11,com.sec.android.app.shealth,-2,11798,1.5370477,9189.511,404.0702,VfS0qUERdZ,com.sec.android.app.shealth,adebeddc-df63-4e35-aa54-92f39453fa00,1708646400000
b7970648-4212-4949-8932-73eabae9070c.binning_data.json,2024-02-25 00:00:03,2024-02-24 00:00:03,com.sec.android.app.shealth,106,11798,1.5370477,9189.511,404.0702,w0vQtxj0o5,com.sec.android.app.shealth,b7970648-4212-4949-8932-73eabae9070c,1708646400000
a193264e-8d26-40b0-af0f-9e15fa90dc0a.binning_data.json,2024-02-25 12:16:42,2024-02-24 11:50:29,com.sec.android.app.shealth,-2,1285,1.6463897,1021.08014,48.39001,VfS0qUERdZ,com.sec.android.app.shealth,a193264e-8d26-40b0-af0f-9e15fa90dc0a,1708732800000
