date_time,steps,speed_ms,distance_m,calorie
1970-01-01 00:28:35.385600,16425,1.5126265,12806.255,620.4799
1970-01-01 00:28:35.385600,16425,1.5126265,12806.255,620.4799
1970-01-01 00:28:35.472000,7164,1.516809,5576.739,267.65
1970-01-01 00:28:35.472000,7164,1.516809,5576.739,267.65
1970-01-01 00:28:35.558400,8668,1.5320362,6768.7275,316.88016
1970-01-01 00:28:35.558400,8668,1.5320362,6768.7275,316.88016
1970-01-01 00:28:35.644800,6884,1.4906259,5322.399,236.31999
1970-01-01 00:28:35.644800,6884,1.4906259,5322.399,236.31999
1970-01-01 00:28:35.817600,9252,1.4604725,7124.397,318.8
1970-01-01 00:28:35.817600,9252,1.4604725,7124.397,318.8
1970-01-01 00:28:35.990400,7237,1.4607868,5569.291,255.32997
1970-01-01 00:28:35.990400,7237,1.4607868,5569.291,255.32997
1970-01-01 00:28:36.076800,4412,1.5366658,3443.3318,162.18
1970-01-01 00:28:36.076800,4412,1.5366658,3443.3318,162.18
1970-01-01 00:28:36.163200,6021,1.4880965,4646.43,210.95003
1970-01-01 00:28:36.163200,6021,1.4880965,4646.43,210.95003
1970-01-01 00:28:36.249600,7909,1.6669204,6279.998,282.6701
1970-01-01 00:28:36.249600,7909,1.6669204,6279.998,282.6701
1970-01-01 00:28:36.422400,12604,1.5310508,9820.044,440.3699
1970-01-01 00:28:36.422400,12604,1.5310508,9820.044,440.3699
1970-01-01 00:28:36.508800,10679,1.508341,8285.132,364.91003
1970-01-01 00:28:36.508800,10571,1.5098169,8203.921,360.88
1970-01-01 00:28:37.113600,7854,1.50626,6085.8086,265.37997
1970-01-01 00:28:37.200000,11420,1.5291667,8894.503,413.59003
1970-01-01 00:28:37.286400,8640,1.4821608,6695.446,311.17
1970-01-01 00:28:37.200000,11420,1.5291667,8894.503,413.59003
1970-01-01 00:28:37.113600,7854,1.50626,6085.8086,265.37997
1970-01-01 00:28:37.286400,8640,1.4821608,6695.446,311.17
1970-01-01 00:28:37.459200,14837,1.5432307,11583.467,529.7902
1970-01-01 00:28:37.459200,14837,1.5432307,11583.467,529.7902
1970-01-01 00:28:37.718400,6930,1.5186557,5377.1997,240.7799
1970-01-01 00:28:37.632000,812,1.4316509,620.67,27.650002
1970-01-01 00:28:37.545600,1339,1.4397173,1026.2502,47.359997
1970-01-01 00:28:37.632000,812,1.4316509,620.67,27.650002
1970-01-01 00:28:37.718400,6930,1.5186557,5377.1997,240.7799
1970-01-01 00:28:37.545600,1339,1.4397173,1026.2502,47.359997
1970-01-01 00:28:38.409600,3330,1.5273542,2587.4263,116.54022
1970-01-01 00:28:38.323200,8162,1.5206918,6347.2495,288.49
1970-01-01 00:28:38.409600,3330,1.5273542,2587.4263,116.54022
1970-01-01 00:28:38.323200,8162,1.5206918,6347.2495,288.49
1970-01-01 00:28:38.755200,8019,1.5072523,6216.3086,288.27966
1970-01-01 00:28:38.755200,8019,1.5072523,6216.3086,288.27966
1970-01-01 00:28:38.841600,6018,1.4498117,4622.339,210.37021
1970-01-01 00:28:38.841600,6018,1.4498117,4622.339,210.37021
1970-01-01 00:28:38.928000,8602,1.5042975,6666.384,295.73972
1970-01-01 00:28:38.928000,8602,1.5042975,6666.384,295.73972
